id,label
0230d62e12ab7775,non_parket
02a409fd42cb9f96,parket
02c1b84f64fdfb9d,non_parket
03e539896b2b0cdf,non_parket
048b8b208dc34456,non_parket
04ceee1f5d2b943e,non_parket
051e498ce44e8690,non_parket
06024e1b2c633fc9,non_parket
0693a14478b59617,non_parket
0a3126573ee94342,non_parket
0c4c4389e64289f1,parket
0e6c0cedd8a4cd5e,non_parket
14053dd3bd67226e,non_parket
1461b82f4610b63f,parket
1c01b7034f7cfa30,non_parket
1df8ba9898ee9794,parket
2088aa27e5cea0f0,non_parket
2146e97000a31c13,parket
23ee411eab39cfca,non_parket
25868d7756d854ad,parket
265b037fec0b826f,parket
270497801230fcca,non_parket
2795a2d15c22bfcb,non_parket
2823305597456ee0,non_parket
296f5400156cd0a1,parket
298ea6499f61624f,non_parket
2a124259a1e6bf9c,non_parket
2ab83496f5c4e6e4,non_parket
2b4bd5db02898a83,non_parket
2bd51f3368f29c6b,non_parket
2c02c48539a8f5bf,non_parket
2ced5a7d9d42d7ae,non_parket
2d2ffd050f0cb8da,non_parket
2f0cb9f973c14604,parket
326d32bfce4dcdac,non_parket
3297e5e460e083a0,non_parket
341e0ed234b0630f,parket
35d887abba488cd0,non_parket
3691490ec34145f1,parket
36ae8e472a55f8a1,non_parket
372ea257782f6742,parket
39201afabd9c968c,non_parket
3924a62f9c4b5f8e,non_parket
39af41eaf290a699,non_parket
3ef429766cf4b95b,parket
3f00d038b7307dcb,non_parket
40eeed4e8f667ec5,parket
41e57c1805f8fcd0,non_parket
422271778919c598,parket
4414d2cb4880e22f,parket
4425e96682a05b5b,non_parket
44a097415d42789a,non_parket
49d0ca66dad568cc,parket
4a13610e129b0bd4,non_parket
4d1898c53e442edb,non_parket
4ec25e9602499e5e,non_parket
4f2634c030cc8e99,non_parket
52058887404dfd1d,parket
5287eced4c189c0f,parket
53113cd2f647f967,non_parket
53ee6d8ac6f96d30,parket
55ce2fb6167c2e70,non_parket
567c221f5a5e615c,non_parket
59ee0bb14e9f9df5,non_parket
5c405a73241cfe8c,parket
60197f5762140f3e,parket
61c76d652f718132,non_parket
621a067a9c1d3eb5,non_parket
6273ba6325bbae18,parket
63b461b03e719b0b,non_parket
64fdbade54676cd2,non_parket
66b7e04a12ed7ae3,non_parket
69d8ae911ba64b98,parket
6bf62e11197ef3a2,non_parket
6cd958bdb3cbfec4,non_parket
6cdf889a239bfe9d,non_parket
6d02cb98f6f72e9f,non_parket
6f8aa136c89a21c6,non_parket
6fe736fa82a0a71f,parket
70a8d4340ad55fec,parket
71be159cbd118554,parket
7414978afbb93bcb,parket
74350b87b8927eb7,non_parket
74f81410caec0a37,non_parket
75d086a051d33f5d,non_parket
798de1918391122c,parket
79ef19fd1f702e9e,parket
7e5ac63c996cf808,non_parket
7ecefd975436b1db,non_parket
825c3445f10596cc,non_parket
82c3447b8558e3c9,parket
835066470f292534,parket
83d73cce76182a31,non_parket
84bf8de8f4bd67f9,non_parket
852f3a6c82e7a07a,non_parket
86ca26ed4013112c,parket
871abf737d8d4547,non_parket
876fb5ae7708dc50,non_parket
908154c6a80a8ce9,non_parket
937c6908c4fbf73f,parket
94b7e8487dc2e410,parket
9639e43d31ea67af,parket
9bfbef9735c7d1c1,non_parket
9ca2faab2a37639c,parket
9eabc67ff8b335d3,parket
9f15746f298e4de5,non_parket
a21d92da4819e92e,parket
a3def7e965598fb6,parket
a4ae2293fb0152bd,non_parket
a4b2391bcb0d124c,parket
a624188801e023f4,non_parket
a7f43051415d962d,parket
a8518a1c6eb21ece,non_parket
aac350ec903c6278,parket
abee4437089888ad,non_parket
b017d1abb18af2d4,non_parket
b26f98fd6123d7d5,non_parket
b3de4322bcc5dfec,non_parket
b525cd519efea7bb,parket
b766b141eef72ab0,non_parket
b841ecf605be4cbb,non_parket
bde0e44cbe752647,non_parket
bfd6d8c66681252e,non_parket
c088233fd538800c,parket
c25b3b23bf333c42,non_parket
c596e95071ed108a,non_parket
c61b9a228deda917,non_parket
c74e2e6c9cf91c1e,parket
cb69cd64d481f84b,non_parket
ccea4f70bc6a78e2,parket
cdedcc8a857f9d2d,non_parket
ce8ce59c74a4defd,parket
cfc384cb260df09c,non_parket
d13b8e32282e522d,parket
d3f781392a7b5653,non_parket
d58ffaa576a7b191,parket
dd9aa78d9c14aa83,non_parket
e2856d174f3b47c2,parket
e76fad4fadf23624,non_parket
eaa70b38024ac6f1,non_parket
ee755797df6f86d1,non_parket
ee983654ae080911,parket
eeeb966f122425cd,non_parket
f31cef093394d02a,non_parket
f3c20ffbefa8b4b0,parket
f4afafd5d4743dce,parket
f677c0e01d7a1ad6,non_parket
f70e18f671a60536,parket
f9fd4dc6ecc2ab94,parket
fb63997b3b6f24dd,non_parket
